book_id;name;country_ids;publisher_id
instance2_bk_0;book0;"[""instance2_ct_0"",""instance2_ct_1""]";instance2_pb_3908
instance2_bk_1;book1;"[""instance2_ct_1"",""instance2_ct_2""]";instance2_pb_765
instance2_bk_2;book2;"[""instance2_ct_2"",""instance2_ct_3""]";instance2_pb_609
instance2_bk_3;book3;"[""instance2_ct_3"",""instance2_ct_4""]";instance2_pb_2066
instance2_bk_4;book4;"[""instance2_ct_4"",""instance2_ct_5""]";instance2_pb_9550
instance2_bk_5;book5;"[""instance2_ct_5"",""instance2_ct_6""]";instance2_pb_18441
instance2_bk_6;book6;"[""instance2_ct_6"",""instance2_ct_7""]";instance2_pb_1906
instance2_bk_7;book7;"[""instance2_ct_7"",""instance2_ct_8""]";instance2_pb_5895
instance2_bk_8;book8;"[""instance2_ct_8"",""instance2_ct_9""]";instance2_pb_12709
instance2_bk_9;book9;"[""instance2_ct_9"",""instance2_ct_10""]";instance2_pb_8633
instance2_bk_10;book10;"[""instance2_ct_10"",""instance2_ct_11""]";instance2_pb_11803
instance2_bk_11;book11;"[""instance2_ct_11"",""instance2_ct_12""]";instance2_pb_3913
instance2_bk_12;book12;"[""instance2_ct_12"",""instance2_ct_13""]";instance2_pb_11323
instance2_bk_13;book13;"[""instance2_ct_13"",""instance2_ct_14""]";instance2_pb_5972
instance2_bk_14;book14;"[""instance2_ct_14"",""instance2_ct_15""]";instance2_pb_14755
instance2_bk_15;book15;"[""instance2_ct_15"",""instance2_ct_16""]";instance2_pb_15262
instance2_bk_16;book16;"[""instance2_ct_16"",""instance2_ct_17""]";instance2_pb_1615
instance2_bk_17;book17;"[""instance2_ct_17"",""instance2_ct_18""]";instance2_pb_10559
instance2_bk_18;book18;"[""instance2_ct_18"",""instance2_ct_19""]";instance2_pb_7775
instance2_bk_19;book19;"[""instance2_ct_19"",""instance2_ct_20""]";instance2_pb_16886
instance2_bk_20;book20;"[""instance2_ct_20"",""instance2_ct_21""]";instance2_pb_4503
instance2_bk_21;book21;"[""instance2_ct_21"",""instance2_ct_22""]";instance2_pb_4771
instance2_bk_22;book22;"[""instance2_ct_22"",""instance2_ct_23""]";instance2_pb_13034
instance2_bk_23;book23;"[""instance2_ct_23"",""instance2_ct_24""]";instance2_pb_7794
instance2_bk_24;book24;"[""instance2_ct_24"",""instance2_ct_25""]";instance2_pb_18648
instance2_bk_25;book25;"[""instance2_ct_25"",""instance2_ct_26""]";instance2_pb_1278
instance2_bk_26;book26;"[""instance2_ct_26"",""instance2_ct_27""]";instance2_pb_11686
instance2_bk_27;book27;"[""instance2_ct_27"",""instance2_ct_28""]";instance2_pb_3459
instance2_bk_28;book28;"[""instance2_ct_28"",""instance2_ct_29""]";instance2_pb_13459
instance2_bk_29;book29;"[""instance2_ct_29"",""instance2_ct_30""]";instance2_pb_14362
instance2_bk_30;book30;"[""instance2_ct_30"",""instance2_ct_31""]";instance2_pb_18177
instance2_bk_31;book31;"[""instance2_ct_31"",""instance2_ct_32""]";instance2_pb_66
instance2_bk_32;book32;"[""instance2_ct_32"",""instance2_ct_33""]";instance2_pb_4991
instance2_bk_33;book33;"[""instance2_ct_33"",""instance2_ct_34""]";instance2_pb_12573
instance2_bk_34;book34;"[""instance2_ct_34"",""instance2_ct_35""]";instance2_pb_17193
instance2_bk_35;book35;"[""instance2_ct_35"",""instance2_ct_36""]";instance2_pb_5183
instance2_bk_36;book36;"[""instance2_ct_36"",""instance2_ct_37""]";instance2_pb_12647
instance2_bk_37;book37;"[""instance2_ct_37"",""instance2_ct_38""]";instance2_pb_7682
instance2_bk_38;book38;"[""instance2_ct_38"",""instance2_ct_39""]";instance2_pb_17672
instance2_bk_39;book39;"[""instance2_ct_39"",""instance2_ct_40""]";instance2_pb_6104
instance2_bk_40;book40;"[""instance2_ct_40"",""instance2_ct_41""]";instance2_pb_14931
instance2_bk_41;book41;"[""instance2_ct_41"",""instance2_ct_42""]";instance2_pb_16773
instance2_bk_42;book42;"[""instance2_ct_42"",""instance2_ct_43""]";instance2_pb_93
instance2_bk_43;book43;"[""instance2_ct_43"",""instance2_ct_44""]";instance2_pb_17582
instance2_bk_44;book44;"[""instance2_ct_44"",""instance2_ct_45""]";instance2_pb_715
instance2_bk_45;book45;"[""instance2_ct_45"",""instance2_ct_46""]";instance2_pb_9330
instance2_bk_46;book46;"[""instance2_ct_46"",""instance2_ct_47""]";instance2_pb_13773
instance2_bk_47;book47;"[""instance2_ct_47"",""instance2_ct_48""]";instance2_pb_19283
instance2_bk_48;book48;"[""instance2_ct_48"",""instance2_ct_49""]";instance2_pb_2173
instance2_bk_49;book49;"[""instance2_ct_49"",""instance2_ct_50""]";instance2_pb_7667
instance2_bk_50;book50;"[""instance2_ct_50"",""instance2_ct_51""]";instance2_pb_16724
instance2_bk_51;book51;"[""instance2_ct_51"",""instance2_ct_52""]";instance2_pb_10174
instance2_bk_52;book52;"[""instance2_ct_52"",""instance2_ct_53""]";instance2_pb_12956
instance2_bk_53;book53;"[""instance2_ct_53"",""instance2_ct_54""]";instance2_pb_3242
instance2_bk_54;book54;"[""instance2_ct_54"",""instance2_ct_55""]";instance2_pb_2632
instance2_bk_55;book55;"[""instance2_ct_55"",""instance2_ct_56""]";instance2_pb_3118
instance2_bk_56;book56;"[""instance2_ct_56"",""instance2_ct_57""]";instance2_pb_15356
instance2_bk_57;book57;"[""instance2_ct_57"",""instance2_ct_58""]";instance2_pb_5081
instance2_bk_58;book58;"[""instance2_ct_58"",""instance2_ct_59""]";instance2_pb_1963
