capital_id,name,country_id
instance2_cp_0,capital_0,instance2_ct_0
instance2_cp_1,capital_1,instance2_ct_1
instance2_cp_2,capital_2,instance2_ct_2
instance2_cp_3,capital_3,instance2_ct_3
instance2_cp_4,capital_4,instance2_ct_4
instance2_cp_5,capital_5,instance2_ct_5
instance2_cp_6,capital_6,instance2_ct_6
instance2_cp_7,capital_7,instance2_ct_7
instance2_cp_8,capital_8,instance2_ct_8
instance2_cp_9,capital_9,instance2_ct_9
instance2_cp_10,capital_10,instance2_ct_10
instance2_cp_11,capital_11,instance2_ct_11
instance2_cp_12,capital_12,instance2_ct_12
instance2_cp_13,capital_13,instance2_ct_13
instance2_cp_14,capital_14,instance2_ct_14
instance2_cp_15,capital_15,instance2_ct_15
instance2_cp_16,capital_16,instance2_ct_16
instance2_cp_17,capital_17,instance2_ct_17
instance2_cp_18,capital_18,instance2_ct_18
instance2_cp_19,capital_19,instance2_ct_19
instance2_cp_20,capital_20,instance2_ct_20
instance2_cp_21,capital_21,instance2_ct_21
instance2_cp_22,capital_22,instance2_ct_22
instance2_cp_23,capital_23,instance2_ct_23
instance2_cp_24,capital_24,instance2_ct_24
instance2_cp_25,capital_25,instance2_ct_25
instance2_cp_26,capital_26,instance2_ct_26
instance2_cp_27,capital_27,instance2_ct_27
instance2_cp_28,capital_28,instance2_ct_28
instance2_cp_29,capital_29,instance2_ct_29
instance2_cp_30,capital_30,instance2_ct_30
instance2_cp_31,capital_31,instance2_ct_31
instance2_cp_32,capital_32,instance2_ct_32
instance2_cp_33,capital_33,instance2_ct_33
instance2_cp_34,capital_34,instance2_ct_34
instance2_cp_35,capital_35,instance2_ct_35
instance2_cp_36,capital_36,instance2_ct_36
instance2_cp_37,capital_37,instance2_ct_37
instance2_cp_38,capital_38,instance2_ct_38
instance2_cp_39,capital_39,instance2_ct_39
instance2_cp_40,capital_40,instance2_ct_40
instance2_cp_41,capital_41,instance2_ct_41
instance2_cp_42,capital_42,instance2_ct_42
instance2_cp_43,capital_43,instance2_ct_43
instance2_cp_44,capital_44,instance2_ct_44
instance2_cp_45,capital_45,instance2_ct_45
instance2_cp_46,capital_46,instance2_ct_46
instance2_cp_47,capital_47,instance2_ct_47
instance2_cp_48,capital_48,instance2_ct_48
instance2_cp_49,capital_49,instance2_ct_49
instance2_cp_50,capital_50,instance2_ct_50
instance2_cp_51,capital_51,instance2_ct_51
instance2_cp_52,capital_52,instance2_ct_52
instance2_cp_53,capital_53,instance2_ct_53
instance2_cp_54,capital_54,instance2_ct_54
instance2_cp_55,capital_55,instance2_ct_55
instance2_cp_56,capital_56,instance2_ct_56
instance2_cp_57,capital_57,instance2_ct_57
instance2_cp_58,capital_58,instance2_ct_58
instance2_cp_59,capital_59,instance2_ct_59
instance2_cp_60,capital_60,instance2_ct_60
instance2_cp_61,capital_61,instance2_ct_61
instance2_cp_62,capital_62,instance2_ct_62
instance2_cp_63,capital_63,instance2_ct_63
instance2_cp_64,capital_64,instance2_ct_64
instance2_cp_65,capital_65,instance2_ct_65
instance2_cp_66,capital_66,instance2_ct_66
instance2_cp_67,capital_67,instance2_ct_67
instance2_cp_68,capital_68,instance2_ct_68
instance2_cp_69,capital_69,instance2_ct_69
instance2_cp_70,capital_70,instance2_ct_70
instance2_cp_71,capital_71,instance2_ct_71
instance2_cp_72,capital_72,instance2_ct_72
instance2_cp_73,capital_73,instance2_ct_73
instance2_cp_74,capital_74,instance2_ct_74
instance2_cp_75,capital_75,instance2_ct_75
instance2_cp_76,capital_76,instance2_ct_76
instance2_cp_77,capital_77,instance2_ct_77
instance2_cp_78,capital_78,instance2_ct_78
instance2_cp_79,capital_79,instance2_ct_79
instance2_cp_80,capital_80,instance2_ct_80
instance2_cp_81,capital_81,instance2_ct_81
instance2_cp_82,capital_82,instance2_ct_82
instance2_cp_83,capital_83,instance2_ct_83
instance2_cp_84,capital_84,instance2_ct_84
instance2_cp_85,capital_85,instance2_ct_85
instance2_cp_86,capital_86,instance2_ct_86
instance2_cp_87,capital_87,instance2_ct_87
instance2_cp_88,capital_88,instance2_ct_88
instance2_cp_89,capital_89,instance2_ct_89
instance2_cp_90,capital_90,instance2_ct_90
instance2_cp_91,capital_91,instance2_ct_91
instance2_cp_92,capital_92,instance2_ct_92
instance2_cp_93,capital_93,instance2_ct_93
instance2_cp_94,capital_94,instance2_ct_94
instance2_cp_95,capital_95,instance2_ct_95
instance2_cp_96,capital_96,instance2_ct_96
instance2_cp_97,capital_97,instance2_ct_97
instance2_cp_98,capital_98,instance2_ct_98
instance2_cp_99,capital_99,instance2_ct_99
instance2_cp_100,capital_100,instance2_ct_100
instance2_cp_101,capital_101,instance2_ct_101
instance2_cp_102,capital_102,instance2_ct_102
instance2_cp_103,capital_103,instance2_ct_103
instance2_cp_104,capital_104,instance2_ct_104
instance2_cp_105,capital_105,instance2_ct_105
instance2_cp_106,capital_106,instance2_ct_106
instance2_cp_107,capital_107,instance2_ct_107
instance2_cp_108,capital_108,instance2_ct_108
instance2_cp_109,capital_109,instance2_ct_109
instance2_cp_110,capital_110,instance2_ct_110
instance2_cp_111,capital_111,instance2_ct_111
instance2_cp_112,capital_112,instance2_ct_112
instance2_cp_113,capital_113,instance2_ct_113
instance2_cp_114,capital_114,instance2_ct_114
instance2_cp_115,capital_115,instance2_ct_115
instance2_cp_116,capital_116,instance2_ct_116
instance2_cp_117,capital_117,instance2_ct_117
instance2_cp_118,capital_118,instance2_ct_118
instance2_cp_119,capital_119,instance2_ct_119
instance2_cp_120,capital_120,instance2_ct_120
instance2_cp_121,capital_121,instance2_ct_121
instance2_cp_122,capital_122,instance2_ct_122
instance2_cp_123,capital_123,instance2_ct_123
instance2_cp_124,capital_124,instance2_ct_124
instance2_cp_125,capital_125,instance2_ct_125
instance2_cp_126,capital_126,instance2_ct_126
instance2_cp_127,capital_127,instance2_ct_127
instance2_cp_128,capital_128,instance2_ct_128
instance2_cp_129,capital_129,instance2_ct_129
instance2_cp_130,capital_130,instance2_ct_130
