country_id;name;book_ids
instance2_ct_0;country0;"[""instance2_bk_0""]"
instance2_ct_1;country1;"[""instance2_bk_1"",""instance2_bk_0""]"
instance2_ct_2;country2;"[""instance2_bk_2"",""instance2_bk_1""]"
instance2_ct_3;country3;"[""instance2_bk_3"",""instance2_bk_2""]"
instance2_ct_4;country4;"[""instance2_bk_4"",""instance2_bk_3""]"
instance2_ct_5;country5;"[""instance2_bk_5"",""instance2_bk_4""]"
instance2_ct_6;country6;"[""instance2_bk_6"",""instance2_bk_5""]"
instance2_ct_7;country7;"[""instance2_bk_7"",""instance2_bk_6""]"
instance2_ct_8;country8;"[""instance2_bk_8"",""instance2_bk_7""]"
instance2_ct_9;country9;"[""instance2_bk_9"",""instance2_bk_8""]"
instance2_ct_10;country10;"[""instance2_bk_10"",""instance2_bk_9""]"
instance2_ct_11;country11;"[""instance2_bk_11"",""instance2_bk_10""]"
instance2_ct_12;country12;"[""instance2_bk_12"",""instance2_bk_11""]"
instance2_ct_13;country13;"[""instance2_bk_13"",""instance2_bk_12""]"
instance2_ct_14;country14;"[""instance2_bk_14"",""instance2_bk_13""]"
instance2_ct_15;country15;"[""instance2_bk_15"",""instance2_bk_14""]"
instance2_ct_16;country16;"[""instance2_bk_16"",""instance2_bk_15""]"
instance2_ct_17;country17;"[""instance2_bk_17"",""instance2_bk_16""]"
instance2_ct_18;country18;"[""instance2_bk_18"",""instance2_bk_17""]"
instance2_ct_19;country19;"[""instance2_bk_19"",""instance2_bk_18""]"
instance2_ct_20;country20;"[""instance2_bk_20"",""instance2_bk_19""]"
instance2_ct_21;country21;"[""instance2_bk_21"",""instance2_bk_20""]"
instance2_ct_22;country22;"[""instance2_bk_22"",""instance2_bk_21""]"
instance2_ct_23;country23;"[""instance2_bk_23"",""instance2_bk_22""]"
instance2_ct_24;country24;"[""instance2_bk_24"",""instance2_bk_23""]"
instance2_ct_25;country25;"[""instance2_bk_25"",""instance2_bk_24""]"
instance2_ct_26;country26;"[""instance2_bk_26"",""instance2_bk_25""]"
